Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
1,1,1,6,1,19,19,26,1,25
2,2,2,2,2,14,24,27,23,2
1,2,2,5,5,5,21,26,32,1
2,3,4,6,9,14,21,17,12,12
0,0,0,2,21,21,21,2,2,31
0,0,4,17,21,2,4,5,32,15
1,2,4,7,13,12,15,3,22,21
6,1,2,2,1,3,6,24,34,21
0,0,1,10,11,12,1,1,32,32
2,6,2,12,2,18,2,28,10,18
1,4,4,13,9,10,10,23,19,7
1,5,11,1,1,22,26,3,3,27
2,2,8,12,2,21,23,26,2,2
1,1,2,10,1,8,8,9,26,34
0,0,0,18,18,8,5,5,35,11
1,2,3,0,6,12,0,30,32,14
0,1,3,17,21,17,14,16,5,6
2,4,6,9,0,3,3,21,24,28
2,1,10,12,14,3,13,4,37,4
0,1,3,1,16,22,0,1,32,24
0,1,2,17,20,17,14,16,6,7
0,2,6,4,8,5,20,12,23,20
2,3,3,7,10,14,18,21,18,4
0,2,2,4,1,18,19,19,14,21
5,5,5,5,16,17,18,19,5,5
1,1,1,2,1,15,20,3,29,27
2,3,2,4,12,14,7,19,25,12
0,0,8,19,17,12,4,4,4,32
4,4,4,6,0,0,25,25,25,7
5,5,5,10,10,5,11,30,11,8
2,2,2,2,6,21,21,21,21,2
1,1,2,3,5,8,13,21,18,28
1,6,5,1,1,1,20,1,32,32
1,5,5,5,9,16,13,17,21,8
0,0,0,0,18,22,22,33,0,5
2,2,7,17,22,22,13,4,4,7
4,4,4,4,16,4,16,28,16,4
2,2,6,5,15,18,2,12,3,35
0,3,8,9,13,5,28,30,2,2
1,1,12,6,6,23,2,2,25,22
1,2,2,5,7,13,19,21,14,16
0,1,1,15,18,2,2,3,31,27
0,0,0,3,3,18,18,18,18,22
2,2,8,10,13,17,21,21,3,3
1,1,1,5,5,15,16,1,24,31
1,1,1,1,16,16,2,29,30,3
0,3,5,4,10,17,0,0,29,32
2,3,3,17,17,3,4,4,23,24
2,2,12,2,2,12,2,2,32,32
1,2,4,10,21,12,26,16,4,4
0,0,0,0,15,20,2,2,27,34
1,1,2,15,2,2,17,27,31,2
1,1,1,1,2,7,10,20,35,22
0,0,15,2,2,2,23,25,2,29
1,1,2,2,2,2,20,20,20,30
2,2,2,10,10,20,2,2,25,25
3,4,6,11,11,21,11,11,11,11
3,6,6,9,11,2,27,31,2,3
1,1,2,1,20,5,2,1,32,35
1,1,1,10,4,10,7,22,18,26
2,9,3,10,3,18,3,22,3,27
5,0,7,7,7,21,3,24,2,24
5,0,7,7,7,21,3,24,2,24
1,2,3,4,10,15,15,15,4,31
2,2,4,4,16,16,21,31,2,2
1,1,9,9,1,15,2,2,29,31
1,1,2,15,11,3,8,23,34,2
2,3,3,4,5,10,18,22,18,15
1,6,2,16,3,26,8,32,3,3
1,9,12,6,5,26,5,5,7,24
0,0,1,6,11,18,28,5,0,31
2,2,2,2,2,15,18,21,34,2
1,2,4,7,19,11,24,17,3,12
2,4,2,6,10,2,14,23,14,23
1,1,4,12,20,2,2,6,30,22
3,3,3,3,13,18,21,32,2,2
1,2,3,12,18,21,18,12,10,3
1,2,4,6,12,2,16,18,22,17
1,1,1,6,20,20,20,25,3,3
0,3,4,5,1,8,15,18,22,24
4,6,11,4,14,6,21,4,24,6
2,7,6,8,3,19,0,21,25,9
1,1,1,1,1,1,19,22,25,28
0,0,0,5,10,10,15,30,20,10
0,1,9,0,0,19,6,0,35,30
0,0,0,15,17,2,3,4,21,38
3,1,1,1,1,1,2,26,27,37
1,1,2,2,17,17,17,4,1,38
0,2,3,1,12,12,12,12,12,34
2,6,9,9,12,2,28,27,2,3
1,3,0,4,15,0,21,16,9,31
0,0,0,4,1,16,1,16,31,31
1,1,13,2,2,14,2,3,31,31
1,2,1,3,13,1,24,12,21,22
2,2,11,1,2,16,3,3,30,30
3,3,9,2,3,14,21,5,17,23
2,2,2,2,2,20,24,24,20,2
3,3,8,3,21,5,26,10,10,11
3,4,6,11,13,7,6,21,26,3
1,1,8,5,15,3,15,8,27,17
1,2,3,5,7,15,30,33,2,2
3,3,3,1,1,15,3,22,27,22
1,2,2,5,7,20,20,20,20,3
3,3,3,11,2,6,12,31,1,28
1,5,7,15,1,1,1,1,34,34
2,3,3,3,21,17,2,3,24,22
2,1,1,10,12,2,19,25,25,3
1,1,1,15,1,18,1,26,2,34
1,1,13,9,2,2,23,22,2,25
1,1,1,1,11,19,19,1,21,25
1,1,3,6,12,17,16,18,23,3
0,1,1,2,8,6,16,16,19,31
0,0,0,3,5,23,16,13,17,23
1,3,3,4,4,14,12,19,24,16
2,3,7,9,10,10,18,20,6,15
3,1,1,1,1,1,1,26,30,35
0,0,2,16,21,3,2,3,32,21
0,0,7,5,6,17,16,17,16,16
0,4,1,3,19,10,12,7,12,32
3,3,3,3,3,10,15,20,30,10
2,2,2,6,8,16,26,34,2,2
1,1,1,1,1,15,18,26,34,2
0,1,2,16,20,3,2,2,32,22
1,1,1,9,16,21,22,23,5,1
1,1,1,1,1,20,1,1,34,39
1,4,0,0,5,6,10,24,23,27
1,1,3,3,3,14,18,17,20,20
0,8,2,2,2,32,2,35,9,8
3,6,7,8,2,13,15,1,33,12
0,0,0,0,1,0,0,33,33,33
3,3,11,15,18,11,22,6,4,7
1,1,1,1,15,21,24,1,1,34
1,1,3,5,7,13,16,22,15,17
1,8,9,15,3,3,5,6,28,22
4,4,4,10,13,14,17,16,8,10
1,1,1,1,23,15,3,26,3,26
0,0,0,7,8,0,0,35,35,15
2,2,2,16,2,2,18,23,30,3
0,0,0,0,6,5,11,18,28,32
1,1,2,2,15,11,0,5,33,30
1,1,1,13,5,11,20,20,20,8
3,1,2,1,3,3,16,19,26,26
0,0,0,0,3,11,21,21,22,22
4,0,9,5,1,18,1,33,3,26
1,1,10,1,1,1,1,21,27,36
1,2,3,16,20,3,3,3,31,18
0,0,2,16,21,3,2,2,32,22
5,5,5,3,3,19,1,2,27,30
1,1,1,9,3,1,24,28,31,1
1,1,1,6,15,20,25,25,5,1
1,1,1,1,1,1,14,25,25,30
0,1,4,12,15,4,27,33,3,1
0,1,2,16,21,2,3,1,32,22
0,1,2,16,21,2,3,1,32,22
0,1,2,16,21,2,3,1,32,22
2,3,3,15,18,23,24,1,1,10
3,3,3,3,3,5,15,20,20,25
1,0,0,2,1,0,17,21,27,31
2,5,8,5,6,16,15,18,8,17
2,1,3,7,10,14,19,22,19,3
1,1,13,1,1,23,2,3,26,29
1,1,12,1,1,20,1,1,34,28
5,2,5,7,22,23,22,2,2,10
1,1,1,1,1,1,9,20,30,35
1,3,5,0,0,14,19,2,24,32
5,6,6,6,11,5,5,6,25,25
0,0,11,13,2,21,21,21,0,11
0,0,7,8,11,0,0,23,25,26
2,1,6,7,12,16,22,1,31,2
1,4,1,1,1,1,23,1,28,39
1,1,10,10,15,25,5,5,1,27
1,4,12,14,7,16,18,20,3,5
1,1,1,15,1,20,1,28,2,30
0,8,6,8,13,1,19,11,2,32
7,2,2,11,0,6,24,5,33,10
1,1,4,5,9,12,12,18,12,26
1,2,4,6,9,11,21,22,22,2
0,2,3,3,13,13,21,20,0,25
1,1,4,8,10,13,16,19,16,12
1,1,1,1,1,20,25,30,1,19
2,4,5,8,4,11,16,8,23,19
7,7,7,7,7,7,7,7,7,37
0,0,9,22,22,6,27,2,6,6
3,6,6,11,11,1,27,30,2,3
3,3,11,11,4,4,19,20,21,4
1,1,2,4,6,9,13,17,21,26
1,1,2,4,6,9,13,17,21,26
1,1,2,4,6,9,13,17,21,26
2,4,8,10,3,13,14,15,6,25
0,1,3,6,15,18,0,0,27,30
0,1,2,13,21,5,8,13,34,3
2,2,2,10,1,1,25,25,30,2
2,2,2,5,9,11,11,11,11,36
1,2,2,8,10,15,17,19,23,3
1,1,1,9,14,18,2,24,28,2
2,3,1,5,16,28,6,9,18,12
4,4,8,6,7,15,18,6,18,14
0,0,0,18,18,2,2,2,34,24
0,0,1,1,22,24,1,4,25,22
1,5,6,11,16,18,2,1,15,25
2,2,2,2,2,8,13,18,23,28
1,1,3,20,4,3,16,3,28,21
0,0,0,15,18,1,1,1,32,32
2,3,5,5,14,14,16,16,14,11
0,0,0,7,10,0,0,24,28,31
0,1,1,16,21,2,2,3,32,22
